Date,Dow
2019-03-20,46.89089584350586
2019-03-21,46.11879348754883
2019-03-22,45.76099395751953
2019-03-25,46.27886962890625
2019-03-26,45.99639129638672
2019-03-27,47.173370361328125
2019-03-28,47.879554748535156
2019-03-29,48.61399459838867
2019-04-01,50.374755859375
2019-04-02,52.964115142822266
2019-04-03,53.55731201171875
2019-04-04,56.22199249267578
2019-04-05,53.89628219604492
2019-04-08,53.81153869628906
2019-04-09,52.98294448852539
2019-04-10,52.455657958984375
2019-04-11,51.683555603027344
2019-04-12,54.89435958862305
2019-04-15,54.40473937988281
2019-04-16,55.08267593383789
2019-04-17,54.91319274902344
2019-04-18,54.39532470703125
2019-04-22,54.5083122253418
2019-04-23,54.272918701171875
2019-04-24,52.70988464355469
2019-04-25,52.09785461425781
2019-04-26,52.022525787353516
2019-04-29,52.25792694091797
2019-04-30,53.416072845458984
2019-05-01,52.85112380981445
2019-05-02,49.62148666381836
2019-05-03,50.186439514160156
2019-05-06,50.33708953857422
2019-05-07,49.85688400268555
2019-05-08,49.41434097290039
2019-05-09,49.83805465698242
2019-05-10,49.96987533569336
2019-05-13,47.97372055053711
2019-05-14,49.41434097290039
2019-05-15,49.85688400268555
2019-05-16,49.8851318359375
2019-05-17,47.83247756958008
2019-05-20,47.154544830322266
2019-05-21,47.67241287231445
2019-05-22,47.27694320678711
2019-05-23,45.86456298828125
2019-05-24,46.32594680786133
2019-05-28,45.72332763671875
2019-05-29,45.86456298828125
2019-05-30,46.304012298583984
2019-05-31,44.67042541503906
2019-06-03,45.816802978515625
2019-06-04,47.69876480102539
2019-06-05,48.0904426574707
2019-06-06,48.77827072143555
2019-06-07,49.00754928588867
2019-06-10,49.3132438659668
2019-06-11,49.714473724365234
2019-06-12,50.144371032714844
2019-06-13,50.51694107055664
2019-06-14,48.86425018310547
2019-06-17,47.144683837890625
2019-06-18,47.393070220947266
2019-06-19,46.332672119140625
2019-06-20,46.74345397949219
2019-06-21,46.19892501831055
2019-06-24,47.364410400390625
2019-06-25,47.46949005126953
2019-06-26,48.19552993774414
2019-06-27,48.634971618652344
2019-06-28,47.106475830078125
2019-07-01,47.918487548828125
2019-07-02,47.19245529174805
2019-07-03,47.12558364868164
2019-07-05,47.106475830078125
2019-07-08,46.351776123046875
2019-07-09,45.73081970214844
2019-07-10,45.42512512207031
2019-07-11,45.64484405517578
2019-07-12,47.48859786987305
2019-07-15,48.65407943725586
2019-07-16,49.98196029663086
2019-07-17,49.29413986206055
2019-07-18,49.437435150146484
2019-07-19,49.217716217041016
2019-07-22,48.60631561279297
2019-07-23,50.268558502197266
2019-07-24,50.430965423583984
2019-07-25,48.50122833251953
2019-07-26,46.91541290283203
2019-07-29,45.90277862548828
2019-07-30,46.237144470214844
2019-07-31,46.27534866333008
2019-08-01,44.75640106201172
2019-08-02,43.56226348876953
2019-08-05,42.769351959228516
2019-08-06,42.444549560546875
2019-08-07,42.88399124145508
2019-08-08,44.6990852355957
2019-08-09,44.5557861328125
2019-08-12,43.64823913574219
2019-08-13,44.75640106201172
2019-08-14,42.11018753051758
2019-08-15,41.44146728515625
2019-08-16,42.52096939086914
2019-08-19,43.56226348876953
2019-08-20,41.231300354003906
2019-08-21,41.3459358215332
2019-08-22,40.170902252197266
2019-08-23,38.89078140258789
2019-08-26,38.99586868286133
2019-08-27,39.330223083496094
2019-08-28,40.61989974975586
2019-08-29,41.154117584228516
2019-08-30,41.40665817260742
2019-09-03,40.6004753112793
2019-09-04,41.31924057006836
2019-09-05,42.1157112121582
2019-09-06,41.99915313720703
2019-09-09,43.1744270324707
